Bachelor_Favoritism,TV_most_1_TEXT,TV_most_2_TEXT,TV_most_3_TEXT,TV_most_4_TEXT,TV_most_5_TEXT,Age,Sex,Race,Rel,Sex_or,Spir,TV,Tvsoap,Tvdrama,Tvsitcom,Cheated,Phys,Emo,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,Inftotr,condo,F1,F2,F3,F4,F5,F6,New,IC,TV_sex1,TV_sex2,TV_sex3,Single,White,Porn3,Cohab,No56
0,Fox sports,none,none,none,none,18,1,2,1,1,82,2,0,0,0,2,,,5,3,3,6,3,3,4,2,2,2,2,1,1,1,1,1,2,2,3,3,4,4,1,3,5,1,4,5,1,3,5,1,5,6,2,3.33,1,55,65,10,9,65,55,3,2.5,4,4,1,1,0,3,0,60
0,Grey's Anatomy,YouTube,Netflix,Videos,Movies,20,2,2,2,1,81,0,0,0,0,2,,,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.07,0,50,49,2,2,1,2,6,1.3,1,1,1,0,0,1,0,1.5
5,The Bachelor,How to Get Away with Murder,Parks and Recreation,Game of Thrones,Empire,22,2,2,3,1,4,7,4,4,1,1,1,3,2,2,4,4,3,3,3,4,4,4,4,2,2,3,2,3,4,2,4,3,1,1,2,1,1,2,2,3,1,2,2,2,3,2,2,1.8,1,51,72,34,60,36,51,4,3.1,2,4,1,0,0,2.33,0,43.5
0,The Big Bang Theory,Criminal Minds,2 Broke Girls,The Voice,One Piece,20,2,2,1,1,90,6,0,2,2,2,,,3,2,1,3,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,46,36,15,30,28,15,3,1.5,1,1,1,1,0,1,0,21.5
0,Law and Order SVU,Dancing with the Stars,Parenthood,New Girl,Modern Family,24,2,3,1,1,95,1,0,1,1,1,5,2,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.13,0,4,9,8,40,55,8,1,6.8,1,1,1,1,0,1,0,31.5
5,The Bachelor,Real Housewives,Vanderpump Rules,The Mindy Project,The Office,21,2,5,3,1,100,6,0,3,3,2,,,2,1,1,1,3,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,3,1,1.4,0,40,61,14,50,61,19,5,1.35,6,6,1,0,1,4.33,0,40
0,Jane the Virgin,Orange Is the New Black,Narcos,Friends,Grey's Anatomy,22,2,7,1,1,85,3,1,1,1,2,,,5,5,5,5,5,6,5,6,5,3,6,5,6,6,5,3,7,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,1,30,30,4,13,10,10,2,5.05,6,6,6,1,0,6,0,10
0,It's Always Sunny in Philadelphia,Archer,Family Guy,South Park,Wilfred,22,1,5,1,1,1,8,0,0,0,2,,,1,1,4,1,2,1,2,5,2,1,3,2,2,1,1,2,2,1,1,2,1,1,1,4,5,3,5,6,1,4,4,2,7,7,3,3.6,2,9,9,6,4,5,2,3,1.85,5,5,1,1,1,3.67,0,3.5
0,Friends,Quantico,Arrow,The Flash,Empire,21,2,2,3,1,71,7,0,3,4,1,5,1,2,2,2,2,6,2,2,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1.27,0,45,60,34,71,60,45,4,1.85,1,3,1,0,0,1.67,0,52.5
0,Fuller House,Parks and Recreation,Community,The Office,Better Call Saul,22,2,2,1,1,40,2,0,0,2,1,3,5,6,5,7,6,3,6,6,2,6,2,6,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1.2,1,91,91,75,76,90,81,1,3.65,2,1,1,1,0,1.33,0,85.5
